scalar,r,g,b
0.0,0.469,0.469,0.469
0.00392156862745098,0.474,0.474,0.474
0.00784313725490196,0.479,0.479,0.479
0.011764705882352941,0.484,0.484,0.484
0.01568627450980392,0.489,0.489,0.489
0.0196078431372549,0.494,0.494,0.494
0.023529411764705882,0.499,0.499,0.499
0.027450980392156862,0.505,0.505,0.505
0.03137254901960784,0.510,0.510,0.510
0.03529411764705882,0.515,0.515,0.515
0.0392156862745098,0.520,0.521,0.521
0.043137254901960784,0.526,0.526,0.526
0.047058823529411764,0.531,0.531,0.531
0.050980392156862744,0.537,0.537,0.537
0.054901960784313725,0.542,0.542,0.542
0.058823529411764705,0.548,0.548,0.548
0.06274509803921569,0.553,0.553,0.553
0.06666666666666667,0.558,0.559,0.559
0.07058823529411765,0.564,0.564,0.564
0.07450980392156863,0.569,0.570,0.570
0.0784313725490196,0.575,0.575,0.575
0.08235294117647059,0.581,0.581,0.581
0.08627450980392157,0.586,0.586,0.586
0.09019607843137255,0.592,0.592,0.592
0.09411764705882353,0.597,0.597,0.597
0.09803921568627451,0.603,0.603,0.603
0.10196078431372549,0.608,0.609,0.609
0.10588235294117647,0.614,0.614,0.614
0.10980392156862745,0.620,0.620,0.620
0.11372549019607843,0.625,0.625,0.625
0.11764705882352941,0.631,0.631,0.631
0.12156862745098039,0.637,0.637,0.637
0.12549019607843137,0.642,0.642,0.642
0.12941176470588234,0.648,0.648,0.648
0.1333333333333333,0.653,0.654,0.654
0.13725490196078427,0.659,0.659,0.659
0.14117647058823524,0.665,0.665,0.665
0.1450980392156862,0.671,0.671,0.671
0.14901960784313717,0.676,0.676,0.676
0.15294117647058814,0.682,0.682,0.682
0.1568627450980391,0.688,0.688,0.688
0.16078431372549007,0.693,0.694,0.693
0.16470588235294104,0.699,0.699,0.699
0.168627450980392,0.705,0.705,0.705
0.17254901960784297,0.711,0.711,0.711
0.17647058823529393,0.716,0.717,0.716
0.1803921568627449,0.722,0.722,0.722
0.18431372549019587,0.728,0.728,0.728
0.18823529411764683,0.733,0.734,0.734
0.1921568627450978,0.739,0.739,0.739
0.19607843137254877,0.745,0.745,0.745
0.19999999999999973,0.750,0.750,0.750
0.2039215686274507,0.755,0.756,0.756
0.20784313725490167,0.761,0.761,0.761
0.21176470588235263,0.766,0.766,0.766
0.2156862745098036,0.770,0.771,0.771
0.21960784313725457,0.775,0.775,0.775
0.22352941176470553,0.779,0.779,0.779
0.2274509803921565,0.783,0.783,0.783
0.23137254901960747,0.786,0.786,0.786
0.23529411764705843,0.788,0.788,0.788
0.2392156862745094,0.790,0.790,0.790
0.24313725490196036,0.792,0.792,0.792
0.24705882352941133,0.792,0.793,0.793
0.2509803921568623,0.793,0.793,0.793
0.25490196078431326,0.792,0.792,0.792
0.25882352941176423,0.791,0.791,0.791
0.2627450980392152,0.789,0.789,0.789
0.26666666666666616,0.786,0.786,0.786
0.27058823529411713,0.783,0.783,0.783
0.2745098039215681,0.780,0.780,0.780
0.27843137254901906,0.776,0.776,0.776
0.28235294117647003,0.771,0.772,0.772
0.286274509803921,0.767,0.767,0.767
0.29019607843137196,0.762,0.762,0.762
0.29411764705882293,0.757,0.757,0.757
0.2980392156862739,0.751,0.752,0.752
0.30196078431372486,0.746,0.746,0.746
0.30588235294117583,0.740,0.741,0.741
0.3098039215686268,0.735,0.735,0.735
0.31372549019607776,0.729,0.729,0.729
0.3176470588235287,0.723,0.724,0.724
0.3215686274509797,0.718,0.718,0.718
0.32549019607843066,0.712,0.712,0.712
0.3294117647058816,0.706,0.706,0.706
0.3333333333333326,0.701,0.701,0.701
0.33725490196078356,0.695,0.695,0.695
0.3411764705882345,0.689,0.689,0.689
0.3450980392156855,0.683,0.683,0.683
0.34901960784313646,0.678,0.678,0.678
0.3529411764705874,0.672,0.672,0.672
0.3568627450980384,0.666,0.666,0.666
0.36078431372548936,0.661,0.661,0.661
0.3647058823529403,0.655,0.655,0.655
0.3686274509803913,0.649,0.649,0.649
0.37254901960784226,0.644,0.644,0.644
0.3764705882352932,0.638,0.638,0.638
0.3803921568627442,0.632,0.632,0.632
0.38431372549019516,0.627,0.627,0.627
0.3882352941176461,0.621,0.621,0.621
0.3921568627450971,0.615,0.615,0.615
0.39607843137254806,0.610,0.610,0.610
0.399999999999999,0.604,0.604,0.604
0.40392156862745,0.599,0.599,0.599
0.40784313725490096,0.593,0.593,0.593
0.4117647058823519,0.587,0.588,0.588
0.4156862745098029,0.582,0.582,0.582
0.41960784313725386,0.576,0.576,0.576
