scalar,r,g,b
0.0,0.000,0.204,0.963
0.00392156862745098,0.000,0.215,0.951
0.00784313725490196,0.000,0.226,0.940
0.011764705882352941,0.000,0.237,0.929
0.01568627450980392,0.000,0.247,0.918
0.0196078431372549,0.000,0.256,0.907
0.023529411764705882,0.000,0.266,0.896
0.027450980392156862,0.000,0.275,0.885
0.03137254901960784,0.000,0.283,0.874
0.03529411764705882,0.000,0.292,0.863
0.0392156862745098,0.000,0.300,0.852
0.043137254901960784,0.000,0.309,0.841
0.047058823529411764,0.000,0.317,0.830
0.050980392156862744,0.000,0.325,0.819
0.054901960784313725,0.000,0.332,0.808
0.058823529411764705,0.000,0.340,0.797
0.06274509803921569,0.000,0.347,0.786
0.06666666666666667,0.000,0.355,0.775
0.07058823529411765,0.000,0.362,0.765
0.07450980392156863,0.000,0.369,0.754
0.0784313725490196,0.000,0.376,0.743
0.08235294117647059,0.000,0.383,0.732
0.08627450980392157,0.000,0.390,0.721
0.09019607843137255,0.000,0.396,0.710
0.09411764705882353,0.000,0.403,0.699
0.09803921568627451,0.000,0.409,0.689
0.10196078431372549,0.000,0.416,0.678
0.10588235294117647,0.000,0.422,0.667
0.10980392156862745,0.000,0.428,0.657
0.11372549019607843,0.000,0.433,0.646
0.11764705882352941,0.000,0.439,0.636
0.12156862745098039,0.000,0.444,0.626
0.12549019607843137,0.000,0.449,0.616
0.12941176470588234,0.000,0.454,0.606
0.1333333333333333,0.000,0.459,0.596
0.13725490196078427,0.004,0.464,0.586
0.14117647058823524,0.030,0.468,0.577
0.1450980392156862,0.056,0.472,0.567
0.14901960784313717,0.077,0.477,0.558
0.15294117647058814,0.095,0.481,0.548
0.1568627450980391,0.111,0.485,0.539
0.16078431372549007,0.125,0.489,0.530
0.16470588235294104,0.138,0.493,0.520
0.168627450980392,0.149,0.497,0.511
0.17254901960784297,0.160,0.501,0.502
0.17647058823529393,0.169,0.505,0.492
0.1803921568627449,0.177,0.508,0.483
0.18431372549019587,0.185,0.512,0.474
0.18823529411764683,0.192,0.516,0.464
0.1921568627450978,0.199,0.520,0.455
0.19607843137254877,0.204,0.524,0.445
0.19999999999999973,0.210,0.529,0.436
0.2039215686274507,0.215,0.533,0.426
0.20784313725490167,0.219,0.537,0.417
0.21176470588235263,0.223,0.541,0.407
0.2156862745098036,0.227,0.545,0.397
0.21960784313725457,0.230,0.549,0.387
0.22352941176470553,0.233,0.553,0.377
0.2274509803921565,0.236,0.557,0.367
0.23137254901960747,0.238,0.561,0.357
0.23529411764705843,0.240,0.565,0.347
0.2392156862745094,0.242,0.569,0.336
0.24313725490196036,0.243,0.574,0.326
0.24705882352941133,0.245,0.578,0.315
0.2509803921568623,0.246,0.582,0.304
0.25490196078431326,0.246,0.586,0.293
0.25882352941176423,0.247,0.590,0.282
0.2627450980392152,0.247,0.594,0.271
0.26666666666666616,0.247,0.599,0.259
0.27058823529411713,0.247,0.603,0.247
0.2745098039215681,0.247,0.607,0.235
0.27843137254901906,0.246,0.611,0.222
0.28235294117647003,0.246,0.615,0.209
0.286274509803921,0.246,0.619,0.196
0.29019607843137196,0.246,0.623,0.183
0.29411764705882293,0.246,0.627,0.170
0.2980392156862739,0.247,0.631,0.156
0.30196078431372486,0.249,0.635,0.143
0.30588235294117583,0.252,0.639,0.130
0.3098039215686268,0.256,0.642,0.117
0.31372549019607776,0.261,0.646,0.106
0.3176470588235287,0.267,0.649,0.095
0.3215686274509797,0.274,0.652,0.085
0.32549019607843066,0.282,0.655,0.076
0.3294117647058816,0.291,0.658,0.070
0.3333333333333326,0.300,0.661,0.065
0.33725490196078356,0.311,0.664,0.061
0.3411764705882345,0.321,0.666,0.059
0.3450980392156855,0.332,0.669,0.058
0.34901960784313646,0.343,0.671,0.058
0.3529411764705874,0.354,0.674,0.058
0.3568627450980384,0.364,0.676,0.060
0.36078431372548936,0.375,0.679,0.061
0.3647058823529403,0.386,0.681,0.063
0.3686274509803913,0.396,0.683,0.065
0.37254901960784226,0.407,0.686,0.067
0.3764705882352932,0.417,0.688,0.069
0.3803921568627442,0.427,0.690,0.071
0.38431372549019516,0.437,0.693,0.072
0.3882352941176461,0.447,0.695,0.074
0.3921568627450971,0.457,0.697,0.076
0.39607843137254806,0.467,0.700,0.078
0.399999999999999,0.476,0.702,0.080
0.40392156862745,0.486,0.704,0.082
0.40784313725490096,0.495,0.706,0.084
0.4117647058823519,0.505,0.709,0.086
0.4156862745098029,0.514,0.711,0.088
0.41960784313725386,0.523,0.713,0.089
0.4235294117647048,0.533,0.715,0.091
