scalar,r,g,b
0.0,1.000,1.000,1.000
0.00392156862745098,0.998,0.998,0.990
0.00784313725490196,0.995,0.997,0.980
0.011764705882352941,0.993,0.995,0.969
0.01568627450980392,0.991,0.993,0.959
0.0196078431372549,0.989,0.991,0.949
0.023529411764705882,0.986,0.990,0.939
0.027450980392156862,0.984,0.988,0.929
0.03137254901960784,0.981,0.986,0.919
0.03529411764705882,0.979,0.984,0.909
0.0392156862745098,0.976,0.983,0.898
0.043137254901960784,0.974,0.981,0.888
0.047058823529411764,0.971,0.979,0.878
0.050980392156862744,0.969,0.977,0.868
0.054901960784313725,0.966,0.976,0.858
0.058823529411764705,0.964,0.974,0.848
0.06274509803921569,0.961,0.972,0.838
0.06666666666666667,0.958,0.971,0.828
0.07058823529411765,0.956,0.969,0.818
0.07450980392156863,0.953,0.967,0.807
0.0784313725490196,0.950,0.965,0.797
0.08235294117647059,0.947,0.964,0.787
0.08627450980392157,0.944,0.962,0.777
0.09019607843137255,0.941,0.960,0.767
0.09411764705882353,0.940,0.958,0.760
0.09803921568627451,0.939,0.955,0.754
0.10196078431372549,0.938,0.953,0.748
0.10588235294117647,0.937,0.950,0.742
0.10980392156862745,0.936,0.947,0.736
0.11372549019607843,0.935,0.945,0.730
0.11764705882352941,0.934,0.942,0.724
0.12156862745098039,0.933,0.940,0.718
0.12549019607843137,0.932,0.937,0.712
0.12941176470588234,0.931,0.934,0.706
0.1333333333333333,0.930,0.932,0.700
0.13725490196078427,0.929,0.929,0.694
0.14117647058823524,0.928,0.927,0.688
0.1450980392156862,0.927,0.924,0.682
0.14901960784313717,0.926,0.922,0.676
0.15294117647058814,0.925,0.919,0.670
0.1568627450980391,0.924,0.916,0.664
0.16078431372549007,0.923,0.914,0.658
0.16470588235294104,0.922,0.911,0.652
0.168627450980392,0.920,0.909,0.646
0.17254901960784297,0.919,0.906,0.640
0.17647058823529393,0.918,0.904,0.634
0.1803921568627449,0.917,0.901,0.628
0.18431372549019587,0.916,0.898,0.623
0.18823529411764683,0.916,0.895,0.617
0.1921568627450978,0.915,0.893,0.612
0.19607843137254877,0.915,0.890,0.607
0.19999999999999973,0.915,0.887,0.602
0.2039215686274507,0.914,0.884,0.597
0.20784313725490167,0.914,0.881,0.592
0.21176470588235263,0.913,0.879,0.586
0.2156862745098036,0.913,0.876,0.581
0.21960784313725457,0.912,0.873,0.576
0.22352941176470553,0.911,0.870,0.571
0.2274509803921565,0.911,0.867,0.566
0.23137254901960747,0.910,0.864,0.560
0.23529411764705843,0.910,0.862,0.555
0.2392156862745094,0.909,0.859,0.550
0.24313725490196036,0.909,0.856,0.545
0.24705882352941133,0.908,0.853,0.540
0.2509803921568623,0.907,0.850,0.535
0.25490196078431326,0.907,0.848,0.529
0.25882352941176423,0.906,0.845,0.524
0.2627450980392152,0.906,0.842,0.519
0.26666666666666616,0.905,0.839,0.514
0.27058823529411713,0.904,0.836,0.509
0.2745098039215681,0.904,0.833,0.504
0.27843137254901906,0.904,0.830,0.499
0.28235294117647003,0.903,0.827,0.495
0.286274509803921,0.903,0.824,0.490
0.29019607843137196,0.903,0.821,0.485
0.29411764705882293,0.903,0.818,0.481
0.2980392156862739,0.903,0.815,0.476
0.30196078431372486,0.902,0.812,0.472
0.30588235294117583,0.902,0.809,0.467
0.3098039215686268,0.902,0.806,0.463
0.31372549019607776,0.902,0.803,0.458
0.3176470588235287,0.901,0.800,0.453
0.3215686274509797,0.901,0.797,0.449
0.32549019607843066,0.901,0.794,0.444
0.3294117647058816,0.900,0.791,0.440
0.3333333333333326,0.900,0.788,0.435
0.33725490196078356,0.900,0.785,0.431
0.3411764705882345,0.899,0.782,0.426
0.3450980392156855,0.899,0.779,0.421
0.34901960784313646,0.899,0.776,0.417
0.3529411764705874,0.898,0.773,0.412
0.3568627450980384,0.898,0.771,0.408
0.36078431372548936,0.897,0.768,0.403
0.3647058823529403,0.897,0.764,0.399
0.3686274509803913,0.897,0.761,0.395
0.37254901960784226,0.897,0.758,0.391
0.3764705882352932,0.897,0.755,0.387
