scalar,r,g,b
0.0,0.943,0.944,0.943
0.00392156862745098,0.940,0.942,0.943
0.00784313725490196,0.937,0.940,0.943
0.011764705882352941,0.934,0.938,0.943
0.01568627450980392,0.931,0.936,0.943
0.0196078431372549,0.928,0.934,0.942
0.023529411764705882,0.925,0.932,0.942
0.027450980392156862,0.922,0.930,0.942
0.03137254901960784,0.919,0.929,0.942
0.03529411764705882,0.917,0.927,0.941
0.0392156862745098,0.914,0.925,0.941
0.043137254901960784,0.911,0.923,0.941
0.047058823529411764,0.908,0.921,0.941
0.050980392156862744,0.905,0.919,0.940
0.054901960784313725,0.902,0.917,0.940
0.058823529411764705,0.899,0.916,0.940
0.06274509803921569,0.896,0.914,0.939
0.06666666666666667,0.893,0.912,0.939
0.07058823529411765,0.890,0.910,0.939
0.07450980392156863,0.887,0.908,0.939
0.0784313725490196,0.884,0.906,0.938
0.08235294117647059,0.881,0.904,0.938
0.08627450980392157,0.878,0.903,0.938
0.09019607843137255,0.875,0.901,0.937
0.09411764705882353,0.872,0.899,0.937
0.09803921568627451,0.869,0.897,0.937
0.10196078431372549,0.866,0.895,0.937
0.10588235294117647,0.863,0.893,0.936
0.10980392156862745,0.860,0.892,0.936
0.11372549019607843,0.857,0.890,0.936
0.11764705882352941,0.854,0.888,0.935
0.12156862745098039,0.851,0.886,0.935
0.12549019607843137,0.848,0.884,0.935
0.12941176470588234,0.845,0.882,0.934
0.1333333333333333,0.842,0.880,0.934
0.13725490196078427,0.839,0.879,0.934
0.14117647058823524,0.836,0.877,0.933
0.1450980392156862,0.833,0.875,0.933
0.14901960784313717,0.830,0.873,0.933
0.15294117647058814,0.827,0.871,0.932
0.1568627450980391,0.824,0.869,0.932
0.16078431372549007,0.821,0.868,0.931
0.16470588235294104,0.818,0.866,0.931
0.168627450980392,0.815,0.864,0.931
0.17254901960784297,0.812,0.862,0.930
0.17647058823529393,0.809,0.860,0.930
0.1803921568627449,0.806,0.858,0.930
0.18431372549019587,0.803,0.857,0.929
0.18823529411764683,0.800,0.855,0.929
0.1921568627450978,0.797,0.853,0.928
0.19607843137254877,0.794,0.851,0.928
0.19999999999999973,0.791,0.849,0.928
0.2039215686274507,0.788,0.847,0.927
0.20784313725490167,0.785,0.846,0.927
0.21176470588235263,0.782,0.844,0.926
0.2156862745098036,0.779,0.842,0.926
0.21960784313725457,0.776,0.840,0.925
0.22352941176470553,0.773,0.838,0.925
0.2274509803921565,0.770,0.836,0.925
0.23137254901960747,0.767,0.835,0.924
0.23529411764705843,0.764,0.833,0.924
0.2392156862745094,0.761,0.831,0.923
0.24313725490196036,0.758,0.829,0.923
0.24705882352941133,0.755,0.827,0.922
