scalar,r,g,b
0.0,0.000,0.187,0.963
0.00392156862745098,0.000,0.202,0.949
0.00784313725490196,0.000,0.217,0.935
0.011764705882352941,0.000,0.231,0.921
0.01568627450980392,0.011,0.244,0.908
0.0196078431372549,0.036,0.257,0.894
0.023529411764705882,0.056,0.269,0.880
0.027450980392156862,0.069,0.281,0.867
0.03137254901960784,0.079,0.292,0.853
0.03529411764705882,0.087,0.302,0.840
0.0392156862745098,0.092,0.313,0.826
0.043137254901960784,0.096,0.323,0.813
0.047058823529411764,0.098,0.333,0.799
0.050980392156862744,0.100,0.342,0.786
0.054901960784313725,0.100,0.352,0.772
0.058823529411764705,0.099,0.361,0.759
0.06274509803921569,0.098,0.370,0.745
0.06666666666666667,0.097,0.378,0.732
0.07058823529411765,0.095,0.386,0.719
0.07450980392156863,0.093,0.395,0.706
0.0784313725490196,0.092,0.402,0.693
0.08235294117647059,0.092,0.410,0.680
0.08627450980392157,0.092,0.417,0.667
0.09019607843137255,0.093,0.425,0.654
0.09411764705882353,0.095,0.432,0.641
0.09803921568627451,0.099,0.438,0.629
0.10196078431372549,0.104,0.445,0.616
0.10588235294117647,0.110,0.451,0.604
0.10980392156862745,0.117,0.457,0.592
0.11372549019607843,0.125,0.463,0.580
0.11764705882352941,0.134,0.469,0.568
0.12156862745098039,0.142,0.474,0.556
0.12549019607843137,0.151,0.480,0.544
0.12941176470588234,0.160,0.485,0.532
0.1333333333333333,0.169,0.491,0.520
0.13725490196078427,0.177,0.496,0.509
0.14117647058823524,0.185,0.501,0.497
0.1450980392156862,0.193,0.506,0.485
0.14901960784313717,0.200,0.511,0.473
0.15294117647058814,0.206,0.516,0.462
0.1568627450980391,0.213,0.522,0.450
0.16078431372549007,0.218,0.527,0.438
0.16470588235294104,0.223,0.532,0.426
0.168627450980392,0.228,0.537,0.414
0.17254901960784297,0.232,0.542,0.402
0.17647058823529393,0.236,0.547,0.390
0.1803921568627449,0.239,0.552,0.378
0.18431372549019587,0.242,0.557,0.365
0.18823529411764683,0.245,0.562,0.353
0.1921568627450978,0.247,0.567,0.340
0.19607843137254877,0.249,0.573,0.327
0.19999999999999973,0.250,0.578,0.314
0.2039215686274507,0.252,0.583,0.301
0.20784313725490167,0.253,0.588,0.288
0.21176470588235263,0.254,0.593,0.275
0.2156862745098036,0.255,0.598,0.262
0.21960784313725457,0.256,0.603,0.248
0.22352941176470553,0.257,0.608,0.235
0.2274509803921565,0.258,0.613,0.221
0.23137254901960747,0.260,0.618,0.208
0.23529411764705843,0.263,0.623,0.195
0.2392156862745094,0.266,0.627,0.182
0.24313725490196036,0.270,0.632,0.169
0.24705882352941133,0.274,0.636,0.156
0.2509803921568623,0.280,0.641,0.144
0.25490196078431326,0.286,0.645,0.133
0.25882352941176423,0.293,0.649,0.122
0.2627450980392152,0.302,0.653,0.112
0.26666666666666616,0.311,0.657,0.102
0.27058823529411713,0.320,0.660,0.094
0.2745098039215681,0.331,0.664,0.086
0.27843137254901906,0.341,0.667,0.080
0.28235294117647003,0.353,0.671,0.075
0.286274509803921,0.364,0.674,0.070
0.29019607843137196,0.376,0.677,0.067
0.29411764705882293,0.388,0.680,0.065
0.2980392156862739,0.400,0.683,0.064
0.30196078431372486,0.412,0.686,0.064
0.30588235294117583,0.425,0.689,0.064
0.3098039215686268,0.437,0.692,0.064
0.31372549019607776,0.449,0.695,0.065
0.3176470588235287,0.461,0.698,0.067
0.3215686274509797,0.473,0.701,0.068
0.32549019607843066,0.485,0.703,0.070
0.3294117647058816,0.496,0.706,0.071
0.3333333333333326,0.508,0.709,0.073
0.33725490196078356,0.520,0.712,0.075
0.3411764705882345,0.531,0.715,0.077
0.3450980392156855,0.542,0.717,0.078
0.34901960784313646,0.554,0.720,0.080
0.3529411764705874,0.565,0.723,0.082
0.3568627450980384,0.576,0.725,0.084
0.36078431372548936,0.587,0.728,0.086
0.3647058823529403,0.598,0.731,0.087
0.3686274509803913,0.609,0.733,0.089
0.37254901960784226,0.620,0.736,0.091
0.3764705882352932,0.631,0.739,0.093
0.3803921568627442,0.642,0.741,0.095
0.38431372549019516,0.653,0.744,0.096
0.3882352941176461,0.664,0.746,0.098
0.3921568627450971,0.674,0.749,0.100
0.39607843137254806,0.685,0.751,0.102
0.399999999999999,0.696,0.754,0.103
