scalar,r,g,b
0.0,0.066,0.066,0.066
0.00392156862745098,0.068,0.069,0.075
0.00784313725490196,0.070,0.073,0.084
0.011764705882352941,0.072,0.076,0.091
0.01568627450980392,0.073,0.079,0.099
0.0196078431372549,0.075,0.082,0.106
0.023529411764705882,0.076,0.085,0.113
0.027450980392156862,0.077,0.088,0.120
0.03137254901960784,0.077,0.090,0.127
0.03529411764705882,0.077,0.093,0.135
0.0392156862745098,0.078,0.096,0.142
0.043137254901960784,0.078,0.098,0.149
0.047058823529411764,0.078,0.101,0.157
0.050980392156862744,0.078,0.104,0.164
0.054901960784313725,0.078,0.107,0.171
0.058823529411764705,0.078,0.109,0.179
0.06274509803921569,0.077,0.112,0.186
0.06666666666666667,0.077,0.115,0.193
0.07058823529411765,0.076,0.118,0.200
0.07450980392156863,0.075,0.120,0.208
0.0784313725490196,0.075,0.123,0.215
0.08235294117647059,0.074,0.126,0.222
0.08627450980392157,0.072,0.129,0.229
0.09019607843137255,0.071,0.132,0.237
0.09411764705882353,0.070,0.135,0.244
0.09803921568627451,0.068,0.138,0.251
0.10196078431372549,0.067,0.140,0.258
0.10588235294117647,0.065,0.143,0.265
0.10980392156862745,0.063,0.146,0.272
0.11372549019607843,0.061,0.149,0.279
0.11764705882352941,0.059,0.152,0.286
0.12156862745098039,0.056,0.155,0.293
0.12549019607843137,0.054,0.158,0.300
0.12941176470588234,0.051,0.161,0.307
0.1333333333333333,0.048,0.164,0.314
0.13725490196078427,0.045,0.167,0.321
0.14117647058823524,0.042,0.170,0.328
0.1450980392156862,0.039,0.173,0.335
0.14901960784313717,0.036,0.176,0.341
0.15294117647058814,0.032,0.179,0.348
0.1568627450980391,0.029,0.182,0.355
0.16078431372549007,0.025,0.185,0.361
0.16470588235294104,0.022,0.188,0.368
0.168627450980392,0.019,0.191,0.374
0.17254901960784297,0.015,0.194,0.381
0.17647058823529393,0.012,0.197,0.387
0.1803921568627449,0.009,0.200,0.393
0.18431372549019587,0.006,0.203,0.400
0.18823529411764683,0.004,0.206,0.406
0.1921568627450978,0.001,0.209,0.412
0.19607843137254877,0.000,0.212,0.418
0.19999999999999973,0.000,0.215,0.424
0.2039215686274507,0.000,0.218,0.430
0.20784313725490167,0.000,0.221,0.436
0.21176470588235263,0.000,0.224,0.441
0.2156862745098036,0.000,0.228,0.447
0.21960784313725457,0.000,0.231,0.452
0.22352941176470553,0.000,0.234,0.458
0.2274509803921565,0.000,0.237,0.463
0.23137254901960747,0.000,0.240,0.468
0.23529411764705843,0.000,0.243,0.474
0.2392156862745094,0.000,0.246,0.479
0.24313725490196036,0.000,0.249,0.484
0.24705882352941133,0.002,0.252,0.488
0.2509803921568623,0.005,0.255,0.493
0.25490196078431326,0.010,0.259,0.498
0.25882352941176423,0.015,0.262,0.502
0.2627450980392152,0.021,0.265,0.507
0.26666666666666616,0.028,0.268,0.511
0.27058823529411713,0.035,0.271,0.515
0.2745098039215681,0.043,0.274,0.519
0.27843137254901906,0.052,0.277,0.523
0.28235294117647003,0.060,0.281,0.526
0.286274509803921,0.068,0.284,0.530
0.29019607843137196,0.076,0.287,0.533
0.29411764705882293,0.084,0.290,0.536
0.2980392156862739,0.092,0.293,0.539
0.30196078431372486,0.100,0.296,0.542
0.30588235294117583,0.108,0.299,0.545
0.3098039215686268,0.117,0.303,0.547
0.31372549019607776,0.125,0.306,0.549
0.3176470588235287,0.133,0.309,0.552
0.3215686274509797,0.141,0.312,0.553
0.32549019607843066,0.149,0.315,0.555
0.3294117647058816,0.158,0.319,0.556
0.3333333333333326,0.166,0.322,0.558
0.33725490196078356,0.175,0.325,0.558
0.3411764705882345,0.183,0.328,0.559
0.3450980392156855,0.191,0.331,0.560
0.34901960784313646,0.200,0.335,0.560
0.3529411764705874,0.209,0.338,0.559
0.3568627450980384,0.217,0.341,0.559
0.36078431372548936,0.226,0.344,0.558
0.3647058823529403,0.235,0.348,0.557
0.3686274509803913,0.243,0.351,0.556
0.37254901960784226,0.252,0.354,0.554
0.3764705882352932,0.261,0.357,0.551
0.3803921568627442,0.270,0.361,0.549
0.38431372549019516,0.279,0.364,0.546
0.3882352941176461,0.287,0.367,0.544
0.3921568627450971,0.295,0.370,0.541
0.39607843137254806,0.303,0.374,0.539
0.399999999999999,0.311,0.377,0.536
0.40392156862745,0.318,0.380,0.533
0.40784313725490096,0.326,0.384,0.531
0.4117647058823519,0.333,0.387,0.528
0.4156862745098029,0.340,0.390,0.525
0.41960784313725386,0.347,0.394,0.523
0.4235294117647048,0.354,0.397,0.520
0.4274509803921558,0.361,0.401,0.517
0.43137254901960675,0.368,0.404,0.515
0.4352941176470577,0.374,0.407,0.512
0.4392156862745087,0.381,0.411,0.509
0.44313725490195965,0.387,0.414,0.507
0.4470588235294106,0.394,0.418,0.504
0.4509803921568616,0.400,0.421,0.501
0.45490196078431255,0.406,0.424,0.498
0.4588235294117635,0.412,0.428,0.496
0.4627450980392145,0.419,0.431,0.493
0.46666666666666545,0.425,0.435,0.490
0.4705882352941164,0.431,0.438,0.487
0.4745098039215674,0.437,0.442,0.484
0.47843137254901835,0.442,0.445,0.481
0.4823529411764693,0.448,0.448,0.479
0.4862745098039203,0.454,0.452,0.476
0.49019607843137125,0.460,0.455,0.473
0.4941176470588222,0.466,0.459,0.470
0.4980392156862732,0.471,0.462,0.467
0.5019607843137242,0.477,0.466,0.464
0.5058823529411751,0.483,0.469,0.461
0.5098039215686261,0.488,0.473,0.458
0.513725490196077,0.494,0.476,0.455
