scalar,r,g,b
0.0,0.108,0.108,0.108
0.00392156862745098,0.110,0.110,0.110
0.00784313725490196,0.113,0.113,0.113
0.011764705882352941,0.116,0.116,0.116
0.01568627450980392,0.118,0.118,0.118
0.0196078431372549,0.121,0.121,0.121
0.023529411764705882,0.123,0.123,0.123
0.027450980392156862,0.126,0.126,0.126
0.03137254901960784,0.129,0.129,0.129
0.03529411764705882,0.131,0.132,0.132
0.0392156862745098,0.134,0.134,0.134
0.043137254901960784,0.137,0.137,0.137
0.047058823529411764,0.140,0.140,0.140
0.050980392156862744,0.142,0.142,0.142
0.054901960784313725,0.145,0.145,0.145
0.058823529411764705,0.148,0.148,0.148
0.06274509803921569,0.150,0.150,0.150
0.06666666666666667,0.153,0.153,0.153
0.07058823529411765,0.156,0.156,0.156
0.07450980392156863,0.159,0.159,0.159
0.0784313725490196,0.161,0.161,0.161
0.08235294117647059,0.164,0.164,0.164
0.08627450980392157,0.167,0.167,0.167
0.09019607843137255,0.170,0.170,0.170
0.09411764705882353,0.172,0.173,0.173
0.09803921568627451,0.175,0.175,0.175
0.10196078431372549,0.178,0.178,0.178
0.10588235294117647,0.181,0.181,0.181
0.10980392156862745,0.184,0.184,0.184
0.11372549019607843,0.187,0.187,0.187
0.11764705882352941,0.189,0.189,0.189
0.12156862745098039,0.192,0.192,0.192
0.12549019607843137,0.195,0.195,0.195
0.12941176470588234,0.198,0.198,0.198
0.1333333333333333,0.201,0.201,0.201
0.13725490196078427,0.204,0.204,0.204
0.14117647058823524,0.206,0.207,0.206
0.1450980392156862,0.209,0.209,0.209
0.14901960784313717,0.212,0.212,0.212
0.15294117647058814,0.215,0.215,0.215
0.1568627450980391,0.218,0.218,0.218
0.16078431372549007,0.221,0.221,0.221
0.16470588235294104,0.224,0.224,0.224
0.168627450980392,0.227,0.227,0.227
0.17254901960784297,0.230,0.230,0.230
0.17647058823529393,0.232,0.233,0.233
0.1803921568627449,0.235,0.235,0.235
0.18431372549019587,0.238,0.238,0.238
0.18823529411764683,0.241,0.241,0.241
0.1921568627450978,0.244,0.244,0.244
0.19607843137254877,0.247,0.247,0.247
0.19999999999999973,0.250,0.250,0.250
0.2039215686274507,0.253,0.253,0.253
0.20784313725490167,0.256,0.256,0.256
0.21176470588235263,0.259,0.259,0.259
0.2156862745098036,0.262,0.262,0.262
0.21960784313725457,0.265,0.265,0.265
0.22352941176470553,0.268,0.268,0.268
0.2274509803921565,0.271,0.271,0.271
0.23137254901960747,0.274,0.274,0.274
0.23529411764705843,0.277,0.277,0.277
0.2392156862745094,0.280,0.280,0.280
0.24313725490196036,0.283,0.283,0.283
0.24705882352941133,0.286,0.286,0.286
0.2509803921568623,0.289,0.289,0.289
0.25490196078431326,0.292,0.292,0.292
0.25882352941176423,0.295,0.295,0.295
0.2627450980392152,0.298,0.298,0.298
0.26666666666666616,0.301,0.301,0.301
0.27058823529411713,0.304,0.304,0.304
0.2745098039215681,0.307,0.307,0.307
0.27843137254901906,0.310,0.310,0.310
0.28235294117647003,0.313,0.313,0.313
0.286274509803921,0.316,0.317,0.317
0.29019607843137196,0.320,0.320,0.320
0.29411764705882293,0.323,0.323,0.323
0.2980392156862739,0.326,0.326,0.326
0.30196078431372486,0.329,0.329,0.329
0.30588235294117583,0.332,0.332,0.332
0.3098039215686268,0.335,0.335,0.335
0.31372549019607776,0.338,0.338,0.338
0.3176470588235287,0.341,0.341,0.341
0.3215686274509797,0.344,0.344,0.344
0.32549019607843066,0.347,0.348,0.348
0.3294117647058816,0.351,0.351,0.351
0.3333333333333326,0.354,0.354,0.354
