scalar,r,g,b
0.0,0.015,0.002,0.425
0.00392156862745098,0.015,0.002,0.437
0.00784313725490196,0.016,0.002,0.448
0.011764705882352941,0.016,0.002,0.460
0.01568627450980392,0.016,0.002,0.472
0.0196078431372549,0.017,0.002,0.483
0.023529411764705882,0.017,0.001,0.495
0.027450980392156862,0.017,0.001,0.507
0.03137254901960784,0.017,0.001,0.519
0.03529411764705882,0.018,0.001,0.531
0.0392156862745098,0.018,0.001,0.543
0.043137254901960784,0.018,0.001,0.555
0.047058823529411764,0.018,0.001,0.567
0.050980392156862744,0.019,0.001,0.579
0.054901960784313725,0.019,0.002,0.590
0.058823529411764705,0.020,0.002,0.602
0.06274509803921569,0.020,0.003,0.614
0.06666666666666667,0.021,0.005,0.625
0.07058823529411765,0.021,0.007,0.636
0.07450980392156863,0.022,0.010,0.647
0.0784313725490196,0.023,0.013,0.657
0.08235294117647059,0.024,0.017,0.667
0.08627450980392157,0.025,0.023,0.676
0.09019607843137255,0.027,0.029,0.685
0.09411764705882353,0.028,0.036,0.694
0.09803921568627451,0.030,0.044,0.703
0.10196078431372549,0.032,0.051,0.711
0.10588235294117647,0.034,0.059,0.719
0.10980392156862745,0.036,0.067,0.727
0.11372549019607843,0.038,0.074,0.735
0.11764705882352941,0.040,0.081,0.742
0.12156862745098039,0.042,0.088,0.750
0.12549019607843137,0.044,0.095,0.757
0.12941176470588234,0.045,0.102,0.765
0.1333333333333333,0.047,0.108,0.773
0.13725490196078427,0.049,0.115,0.780
0.14117647058823524,0.050,0.121,0.788
0.1450980392156862,0.052,0.127,0.795
0.14901960784313717,0.053,0.133,0.803
0.15294117647058814,0.055,0.139,0.810
0.1568627450980391,0.056,0.146,0.818
0.16078431372549007,0.057,0.151,0.825
0.16470588235294104,0.059,0.157,0.833
0.168627450980392,0.060,0.163,0.841
0.17254901960784297,0.061,0.169,0.848
0.17647058823529393,0.062,0.174,0.856
0.1803921568627449,0.063,0.180,0.863
0.18431372549019587,0.064,0.186,0.871
0.18823529411764683,0.065,0.191,0.879
0.1921568627450978,0.066,0.197,0.886
0.19607843137254877,0.067,0.203,0.894
0.19999999999999973,0.068,0.208,0.901
0.2039215686274507,0.069,0.214,0.909
0.20784313725490167,0.071,0.220,0.916
0.21176470588235263,0.072,0.226,0.922
0.2156862745098036,0.074,0.232,0.928
0.21960784313725457,0.077,0.239,0.933
0.22352941176470553,0.080,0.246,0.937
0.2274509803921565,0.084,0.254,0.940
0.23137254901960747,0.089,0.262,0.941
0.23529411764705843,0.094,0.271,0.941
0.2392156862745094,0.099,0.280,0.939
0.24313725490196036,0.104,0.290,0.934
0.24705882352941133,0.110,0.301,0.928
0.2509803921568623,0.114,0.312,0.920
0.25490196078431326,0.119,0.324,0.910
0.25882352941176423,0.122,0.335,0.898
0.2627450980392152,0.123,0.347,0.885
0.26666666666666616,0.124,0.359,0.871
0.27058823529411713,0.123,0.371,0.856
0.2745098039215681,0.120,0.383,0.841
0.27843137254901906,0.115,0.395,0.824
0.28235294117647003,0.109,0.406,0.808
0.286274509803921,0.101,0.418,0.791
0.29019607843137196,0.091,0.429,0.774
0.29411764705882293,0.079,0.439,0.756
0.2980392156862739,0.066,0.450,0.739
0.30196078431372486,0.051,0.460,0.721
0.30588235294117583,0.037,0.470,0.703
0.3098039215686268,0.026,0.479,0.684
0.31372549019607776,0.021,0.488,0.665
0.3176470588235287,0.022,0.497,0.646
0.3215686274509797,0.030,0.506,0.627
0.32549019607843066,0.045,0.514,0.607
0.3294117647058816,0.063,0.522,0.586
0.3333333333333326,0.081,0.529,0.565
0.33725490196078356,0.099,0.537,0.544
0.3411764705882345,0.115,0.544,0.522
0.3450980392156855,0.129,0.551,0.500
0.34901960784313646,0.142,0.558,0.478
0.3529411764705874,0.153,0.565,0.455
0.3568627450980384,0.163,0.572,0.432
0.36078431372548936,0.171,0.579,0.408
0.3647058823529403,0.177,0.586,0.385
0.3686274509803913,0.181,0.593,0.361
0.37254901960784226,0.184,0.600,0.337
0.3764705882352932,0.187,0.607,0.313
0.3803921568627442,0.188,0.613,0.289
0.38431372549019516,0.189,0.620,0.265
0.3882352941176461,0.191,0.626,0.242
0.3921568627450971,0.193,0.633,0.219
0.39607843137254806,0.195,0.639,0.196
0.399999999999999,0.200,0.645,0.174
0.40392156862745,0.206,0.651,0.153
0.40784313725490096,0.214,0.656,0.133
0.4117647058823519,0.224,0.662,0.115
0.4156862745098029,0.235,0.667,0.098
0.41960784313725386,0.248,0.672,0.082
0.4235294117647048,0.262,0.677,0.069
0.4274509803921558,0.276,0.681,0.057
0.43137254901960675,0.291,0.686,0.047
0.4352941176470577,0.306,0.690,0.039
0.4392156862745087,0.321,0.694,0.033
0.44313725490195965,0.337,0.699,0.029
0.4470588235294106,0.351,0.703,0.027
0.4509803921568616,0.366,0.707,0.025
0.45490196078431255,0.381,0.711,0.024
0.4588235294117635,0.395,0.715,0.023
0.4627450980392145,0.409,0.719,0.023
0.46666666666666545,0.423,0.724,0.022
0.4705882352941164,0.437,0.728,0.021
0.4745098039215674,0.450,0.732,0.021
0.47843137254901835,0.464,0.736,0.020
0.4823529411764693,0.477,0.740,0.020
0.4862745098039203,0.490,0.744,0.020
0.49019607843137125,0.503,0.748,0.019
0.4941176470588222,0.515,0.752,0.019
0.4980392156862732,0.528,0.756,0.018
0.5019607843137242,0.541,0.760,0.018
0.5058823529411751,0.553,0.764,0.017
0.5098039215686261,0.566,0.768,0.017
0.513725490196077,0.578,0.772,0.016
0.517647058823528,0.590,0.776,0.016
