scalar,r,g,b
0.0,0.000,0.000,0.000
0.00392156862745098,0.006,0.006,0.006
0.00784313725490196,0.011,0.011,0.011
0.011764705882352941,0.017,0.017,0.017
0.01568627450980392,0.022,0.022,0.022
0.0196078431372549,0.028,0.028,0.028
0.023529411764705882,0.034,0.034,0.034
0.027450980392156862,0.039,0.039,0.039
0.03137254901960784,0.045,0.045,0.045
0.03529411764705882,0.050,0.050,0.050
0.0392156862745098,0.054,0.054,0.054
0.043137254901960784,0.059,0.059,0.059
0.047058823529411764,0.063,0.063,0.063
0.050980392156862744,0.067,0.067,0.067
0.054901960784313725,0.071,0.071,0.071
0.058823529411764705,0.074,0.075,0.075
0.06274509803921569,0.078,0.078,0.078
0.06666666666666667,0.081,0.081,0.081
0.07058823529411765,0.085,0.085,0.085
0.07450980392156863,0.088,0.088,0.088
0.0784313725490196,0.091,0.091,0.091
0.08235294117647059,0.094,0.094,0.094
0.08627450980392157,0.097,0.097,0.097
0.09019607843137255,0.100,0.100,0.100
0.09411764705882353,0.103,0.103,0.103
0.09803921568627451,0.106,0.106,0.106
0.10196078431372549,0.109,0.109,0.109
0.10588235294117647,0.112,0.112,0.112
0.10980392156862745,0.115,0.115,0.115
0.11372549019607843,0.119,0.119,0.119
0.11764705882352941,0.122,0.122,0.122
0.12156862745098039,0.125,0.125,0.125
0.12549019607843137,0.128,0.128,0.128
0.12941176470588234,0.131,0.131,0.131
0.1333333333333333,0.134,0.134,0.134
0.13725490196078427,0.137,0.137,0.137
0.14117647058823524,0.141,0.141,0.141
0.1450980392156862,0.144,0.144,0.144
0.14901960784313717,0.147,0.147,0.147
0.15294117647058814,0.150,0.150,0.150
0.1568627450980391,0.153,0.153,0.153
0.16078431372549007,0.157,0.157,0.157
0.16470588235294104,0.160,0.160,0.160
0.168627450980392,0.163,0.163,0.163
0.17254901960784297,0.166,0.166,0.166
0.17647058823529393,0.170,0.170,0.170
0.1803921568627449,0.173,0.173,0.173
0.18431372549019587,0.176,0.176,0.176
0.18823529411764683,0.179,0.179,0.179
0.1921568627450978,0.183,0.183,0.183
0.19607843137254877,0.186,0.186,0.186
0.19999999999999973,0.189,0.189,0.189
0.2039215686274507,0.193,0.193,0.193
0.20784313725490167,0.196,0.196,0.196
0.21176470588235263,0.199,0.199,0.199
0.2156862745098036,0.203,0.203,0.203
0.21960784313725457,0.206,0.206,0.206
0.22352941176470553,0.209,0.210,0.209
0.2274509803921565,0.213,0.213,0.213
0.23137254901960747,0.216,0.216,0.216
0.23529411764705843,0.220,0.220,0.220
0.2392156862745094,0.223,0.223,0.223
0.24313725490196036,0.226,0.227,0.227
0.24705882352941133,0.230,0.230,0.230
0.2509803921568623,0.233,0.233,0.233
0.25490196078431326,0.237,0.237,0.237
0.25882352941176423,0.240,0.240,0.240
0.2627450980392152,0.244,0.244,0.244
0.26666666666666616,0.247,0.247,0.247
0.27058823529411713,0.251,0.251,0.251
0.2745098039215681,0.254,0.254,0.254
0.27843137254901906,0.258,0.258,0.258
0.28235294117647003,0.261,0.261,0.261
0.286274509803921,0.265,0.265,0.265
0.29019607843137196,0.268,0.268,0.268
0.29411764705882293,0.272,0.272,0.272
0.2980392156862739,0.275,0.275,0.275
0.30196078431372486,0.279,0.279,0.279
0.30588235294117583,0.282,0.282,0.282
0.3098039215686268,0.286,0.286,0.286
0.31372549019607776,0.289,0.289,0.289
0.3176470588235287,0.293,0.293,0.293
0.3215686274509797,0.297,0.297,0.297
0.32549019607843066,0.300,0.300,0.300
0.3294117647058816,0.304,0.304,0.304
0.3333333333333326,0.307,0.307,0.307
0.33725490196078356,0.311,0.311,0.311
0.3411764705882345,0.314,0.315,0.315
0.3450980392156855,0.318,0.318,0.318
0.34901960784313646,0.322,0.322,0.322
0.3529411764705874,0.325,0.325,0.325
0.3568627450980384,0.329,0.329,0.329
0.36078431372548936,0.333,0.333,0.333
0.3647058823529403,0.336,0.336,0.336
0.3686274509803913,0.340,0.340,0.340
0.37254901960784226,0.344,0.344,0.344
0.3764705882352932,0.347,0.347,0.347
0.3803921568627442,0.351,0.351,0.351
0.38431372549019516,0.355,0.355,0.355
0.3882352941176461,0.358,0.358,0.358
0.3921568627450971,0.362,0.362,0.362
0.39607843137254806,0.366,0.366,0.366
0.399999999999999,0.369,0.370,0.370
0.40392156862745,0.373,0.373,0.373
0.40784313725490096,0.377,0.377,0.377
0.4117647058823519,0.381,0.381,0.381
0.4156862745098029,0.384,0.384,0.384
0.41960784313725386,0.388,0.388,0.388
0.4235294117647048,0.392,0.392,0.392
0.4274509803921558,0.396,0.396,0.396
0.43137254901960675,0.399,0.399,0.399
0.4352941176470577,0.403,0.403,0.403
0.4392156862745087,0.407,0.407,0.407
0.44313725490195965,0.411,0.411,0.411
0.4470588235294106,0.415,0.415,0.415
0.4509803921568616,0.418,0.418,0.418
0.45490196078431255,0.422,0.422,0.422
0.4588235294117635,0.426,0.426,0.426
0.4627450980392145,0.430,0.430,0.430
0.46666666666666545,0.434,0.434,0.434
0.4705882352941164,0.437,0.437,0.437
0.4745098039215674,0.441,0.441,0.441
0.47843137254901835,0.445,0.445,0.445
0.4823529411764693,0.449,0.449,0.449
0.4862745098039203,0.453,0.453,0.453
0.49019607843137125,0.457,0.457,0.457
0.4941176470588222,0.460,0.461,0.461
0.4980392156862732,0.464,0.464,0.464
0.5019607843137242,0.468,0.468,0.468
0.5058823529411751,0.472,0.472,0.472
0.5098039215686261,0.476,0.476,0.476
0.513725490196077,0.480,0.480,0.480
