scalar,r,g,b
0.0,0.102,0.390,0.897
0.00392156862745098,0.112,0.392,0.897
0.00784313725490196,0.126,0.394,0.897
0.011764705882352941,0.143,0.397,0.897
0.01568627450980392,0.161,0.400,0.897
0.0196078431372549,0.181,0.405,0.897
0.023529411764705882,0.201,0.410,0.897
0.027450980392156862,0.221,0.415,0.898
0.03137254901960784,0.240,0.421,0.898
0.03529411764705882,0.260,0.428,0.898
0.0392156862745098,0.278,0.435,0.898
0.043137254901960784,0.297,0.442,0.898
0.047058823529411764,0.314,0.449,0.898
0.050980392156862744,0.331,0.456,0.898
0.054901960784313725,0.348,0.464,0.899
0.058823529411764705,0.364,0.472,0.899
0.06274509803921569,0.380,0.480,0.899
0.06666666666666667,0.395,0.488,0.899
0.07058823529411765,0.409,0.496,0.899
0.07450980392156863,0.424,0.504,0.899
0.0784313725490196,0.438,0.512,0.899
0.08235294117647059,0.451,0.520,0.899
0.08627450980392157,0.465,0.528,0.899
0.09019607843137255,0.477,0.536,0.899
0.09411764705882353,0.490,0.545,0.899
0.09803921568627451,0.503,0.553,0.899
0.10196078431372549,0.515,0.561,0.899
0.10588235294117647,0.527,0.570,0.899
0.10980392156862745,0.539,0.578,0.899
0.11372549019607843,0.550,0.586,0.899
0.11764705882352941,0.562,0.595,0.899
0.12156862745098039,0.573,0.603,0.899
0.12549019607843137,0.584,0.612,0.899
0.12941176470588234,0.595,0.620,0.899
0.1333333333333333,0.606,0.629,0.899
0.13725490196078427,0.617,0.638,0.898
0.14117647058823524,0.628,0.646,0.898
0.1450980392156862,0.638,0.655,0.898
0.14901960784313717,0.648,0.664,0.898
0.15294117647058814,0.659,0.672,0.898
0.1568627450980391,0.669,0.681,0.897
0.16078431372549007,0.679,0.690,0.897
0.16470588235294104,0.689,0.698,0.897
0.168627450980392,0.699,0.707,0.897
0.17254901960784297,0.709,0.716,0.896
0.17647058823529393,0.719,0.725,0.896
0.1803921568627449,0.729,0.734,0.896
0.18431372549019587,0.739,0.742,0.895
0.18823529411764683,0.748,0.751,0.895
0.1921568627450978,0.758,0.760,0.894
0.19607843137254877,0.767,0.768,0.894
0.19999999999999973,0.776,0.777,0.893
0.2039215686274507,0.785,0.785,0.892
0.20784313725490167,0.794,0.793,0.891
0.21176470588235263,0.803,0.800,0.889
0.2156862745098036,0.811,0.807,0.888
0.21960784313725457,0.820,0.814,0.886
0.22352941176470553,0.828,0.820,0.883
0.2274509803921565,0.835,0.825,0.880
0.23137254901960747,0.843,0.829,0.877
0.23529411764705843,0.850,0.833,0.873
0.2392156862745094,0.856,0.835,0.868
0.24313725490196036,0.862,0.837,0.862
0.24705882352941133,0.868,0.837,0.856
0.2509803921568623,0.873,0.836,0.849
0.25490196078431326,0.878,0.834,0.841
0.25882352941176423,0.882,0.831,0.832
0.2627450980392152,0.886,0.827,0.823
0.26666666666666616,0.889,0.821,0.812
0.27058823529411713,0.892,0.815,0.802
0.2745098039215681,0.895,0.808,0.790
0.27843137254901906,0.897,0.800,0.778
0.28235294117647003,0.898,0.792,0.766
0.286274509803921,0.900,0.783,0.753
0.29019607843137196,0.901,0.773,0.740
0.29411764705882293,0.902,0.763,0.727
0.2980392156862739,0.903,0.753,0.713
0.30196078431372486,0.903,0.743,0.700
0.30588235294117583,0.904,0.732,0.686
0.3098039215686268,0.904,0.722,0.672
0.31372549019607776,0.904,0.711,0.658
0.3176470588235287,0.903,0.700,0.644
0.3215686274509797,0.903,0.689,0.630
0.32549019607843066,0.902,0.678,0.617
0.3294117647058816,0.902,0.667,0.603
0.3333333333333326,0.901,0.656,0.589
0.33725490196078356,0.900,0.645,0.575
0.3411764705882345,0.899,0.634,0.562
0.3450980392156855,0.898,0.623,0.548
0.34901960784313646,0.896,0.612,0.534
0.3529411764705874,0.895,0.601,0.521
0.3568627450980384,0.893,0.589,0.507
0.36078431372548936,0.892,0.578,0.494
0.3647058823529403,0.890,0.567,0.480
0.3686274509803913,0.888,0.556,0.467
0.37254901960784226,0.886,0.545,0.454
0.3764705882352932,0.884,0.533,0.440
0.3803921568627442,0.881,0.522,0.427
0.38431372549019516,0.879,0.511,0.414
0.3882352941176461,0.876,0.500,0.401
0.3921568627450971,0.874,0.488,0.388
0.39607843137254806,0.871,0.477,0.375
0.399999999999999,0.868,0.465,0.362
0.40392156862745,0.866,0.454,0.349
0.40784313725490096,0.863,0.442,0.336
0.4117647058823519,0.859,0.430,0.323
0.4156862745098029,0.856,0.419,0.310
0.41960784313725386,0.853,0.407,0.297
0.4235294117647048,0.850,0.395,0.284
0.4274509803921558,0.846,0.383,0.271
0.43137254901960675,0.843,0.371,0.259
0.4352941176470577,0.839,0.358,0.246
0.4392156862745087,0.835,0.346,0.233
0.44313725490195965,0.832,0.334,0.221
0.4470588235294106,0.828,0.321,0.208
0.4509803921568616,0.824,0.309,0.196
0.45490196078431255,0.820,0.296,0.184
0.4588235294117635,0.816,0.284,0.172
0.4627450980392145,0.813,0.271,0.161
0.46666666666666545,0.809,0.260,0.150
0.4705882352941164,0.805,0.248,0.139
0.4745098039215674,0.802,0.237,0.130
0.47843137254901835,0.799,0.226,0.120
0.4823529411764693,0.796,0.217,0.112
0.4862745098039203,0.794,0.209,0.105
0.49019607843137125,0.792,0.202,0.099
0.4941176470588222,0.791,0.196,0.095
0.4980392156862732,0.790,0.193,0.092
